candidate,arch_0,arch_1
"POE, GRACE [1]",0.15910340764183206,1.1558760136842559
"LEGARDA, LOREN (NPC) [2]",0.366055095682159,1.0052064816907416
"ESCUDERO, CHIZ [3]",0.013066258272896092,1.0494352318047715
"CAYETANO, ALAN PETER (NP) [4]",0.015949822122031,1.0543646890011829
"BINAY, NANCY (UNA) [5]",0.6225098963817404,0.7993713991101291
"ANGARA, EDGARDO (LDP) [6]",0.05245126911783338,0.948904217781667
"AQUINO, BENIGNO BAM (LP) [7]",0.2688052459943933,0.8498125163609674
"PIMENTEL, KOKO (PDP) [8]",-0.06421805061703494,0.9132052965352956
"TRILLANES, ANTONIO IV (NP) [9]",-0.07605568558017906,0.869518963969104
"VILLAR, CYNTHIA HANEPBUHAY (NP) [10]",0.2248662305949976,0.7616087586510758
"EJERCITO ESTRADA, JV (UNA) [11]",0.07898966419101518,0.7814804202591454
"HONASAN, GRINGO (UNA) [12]",0.0476017888632288,0.7705782793211146
"GORDON, DICK (UNA) [13]",-0.27739980887141874,0.8376893546366666
"ZUBIRI, MIGZ (UNA) [14]",0.29249558069755294,0.6134223580717544
"ENRILE, JUAN PONCE JR.(NPC) [15]",0.30057568895545667,0.5862661679486756
"MAGSAYSAY, RAMON JR. (LP) [16]",-0.07177718092167572,0.7194857890415736
"HONTIVEROS, RISA (AKBAYAN) [17]",-0.22140247612625946,0.7362057103510611
"HAGEDORN, ED [18]",-0.22167009228327456,0.572801283901728
"VILLANUEVA, BRO.EDDIE (BP) [19]",-0.06378752842992479,0.43807090551772504
"MADRIGAL, JAMBY (LP) [20]",0.09010439986198537,0.3827577984166636
"MAGSAYSAY, MITOS (UNA) [21]",0.08967962185163567,0.3150768806502121
"CASINO, TEDDY (MKB) [22]",-0.014189432424982384,0.2682645344418672
"MACEDA, MANONG ERNIE (UNA) [23]",0.003442345562903487,0.20565368458664615
"COJUANGCO, TINGTING (UNA) [24]",0.10805083841661736,0.14521277298473279
"DELOS REYES, JC (KPTRAN) [25]",0.01594693031750172,0.07354546644218184
"ALCANTARA, SAMSON (SJS) [26]",0.11516377306126994,0.041481101011886505
"BELGICA, GRECO (DPP) [27]",0.026169232831362976,0.062306175814355054
"PENSON, RICARDO [28]",0.01782259512805395,0.05851085102501715
"DAVID, LITO (KPTRAN) [29]",0.03968915225285269,0.05266657026158184
"MONTANO, MON [30]",0.08679224672693298,0.03560775525254518
"FALCONE, BAL (DPP) [31]",0.04071123452340617,0.029093173671303155
