candidate,arch_0,arch_1,arch_2
"POE, GRACE [1]",0.06024548591525724,0.14541425018989754,0.2339819604246688
"LEGARDA, LOREN (NPC) [2]",0.037765464354277224,0.09393377235774403,0.1482827184516458
"ESCUDERO, CHIZ [3]",0.05238198266555062,0.16317851921115079,0.21764524771257662
"CAYETANO, ALAN PETER (NP) [4]",0.05179693264725604,0.1695520812994615,0.20926590904559145
"BINAY, NANCY (UNA) [5]",0.04019902776921506,0.017696378554803258,0.09583120533987378
"ANGARA, EDGARDO (LDP) [6]",0.047658812761365084,0.152997739217199,0.17463350951675188
"AQUINO, BENIGNO BAM (LP) [7]",0.0824440919773527,0.13375306907002676,0.16049757790956035
"PIMENTEL, KOKO (PDP) [8]",0.058400354265482436,0.1737680557029766,0.1883156302918538
"TRILLANES, ANTONIO IV (NP) [9]",0.055456848935647354,0.1393119832434736,0.21851866986332547
"VILLAR, CYNTHIA HANEPBUHAY (NP) [10]",0.02700966905504972,0.08867807298755134,0.10698507585850786
"EJERCITO ESTRADA, JV (UNA) [11]",0.10115565999887995,0.07704955776742814,0.27107285055635605
"HONASAN, GRINGO (UNA) [12]",0.09305689107437004,0.08252846436990632,0.25881892250523786
"GORDON, DICK (UNA) [13]",0.0722005923108607,0.1592085372028435,0.2710746222417436
"ZUBIRI, MIGZ (UNA) [14]",0.0690224375128439,0.08746114082437537,0.12810499326721786
"ENRILE, JUAN PONCE JR.(NPC) [15]",0.038433431267201654,0.03209969594910451,0.10529580721945102
"MAGSAYSAY, RAMON JR. (LP) [16]",0.06940349506212967,0.15652220647731518,0.16431806621871273
"HONTIVEROS, RISA (AKBAYAN) [17]",0.0584620977203747,0.17134652604495063,0.18454330857220663
"HAGEDORN, ED [18]",0.05974986451192075,0.10841087984900603,0.20837342440525936
"VILLANUEVA, BRO.EDDIE (BP) [19]",0.03645514808726749,0.06920420076083718,0.12930417983495848
"MADRIGAL, JAMBY (LP) [20]",0.0346840762094591,0.06336483068721634,0.07104011505318596
"MAGSAYSAY, MITOS (UNA) [21]",0.02010299167325109,0.0447968138698239,0.04711150587635497
"CASINO, TEDDY (MKB) [22]",0.014365456864375941,0.04707800824518334,0.05588892858286301
"MACEDA, MANONG ERNIE (UNA) [23]",0.015629538444871124,0.027364733933797864,0.05379229494556132
"COJUANGCO, TINGTING (UNA) [24]",0.0019146574369655232,0.0062451956286498815,0.007308270254900048
"DELOS REYES, JC (KPTRAN) [25]",0.009232065056455485,0.013873766079350515,0.017576450691551483
"ALCANTARA, SAMSON (SJS) [26]",0.009538878478356468,0.008393555442548982,0.026477423011255975
"BELGICA, GRECO (DPP) [27]",0.0025797514504979917,0.006755530400763926,0.007080833566049153
"PENSON, RICARDO [28]",0.0029427370450654205,0.0076333561622361455,0.007992400846661111
"DAVID, LITO (KPTRAN) [29]",0.008262190985119709,0.00675358876715519,0.01570350613631324
"MONTANO, MON [30]",0.009201330870876512,0.005239796346378199,0.02314311063469196
"FALCONE, BAL (DPP) [31]",0.00413178352264644,0.001528543503436145,0.009169149848191397
