candidate,arch_0,arch_1,arch_2,arch_3
"POE, GRACE [1]",0.21960705883238194,0.11822306003913921,0.37601433251691707,0.35097301811772386
"LEGARDA, LOREN (NPC) [2]",0.1819087873244674,0.12400446771958519,0.2444001849010711,0.29755878913312717
"ESCUDERO, CHIZ [3]",0.2666479800404412,0.14157408802686255,0.39887359179208165,0.3305396645270433
"CAYETANO, ALAN PETER (NP) [4]",0.24376797731895142,0.15167854557273042,0.37350180975371394,0.396744624756435
"BINAY, NANCY (UNA) [5]",0.38705390473495654,0.2552527491187685,0.32259515190284993,0.34509418997562685
"ANGARA, EDGARDO (LDP) [6]",0.22626307466548745,0.14253383413043413,0.3280326512988428,0.3457627672146408
"AQUINO, BENIGNO BAM (LP) [7]",0.22355968868611234,0.18114446122953012,0.3103449242417839,0.41925307934818085
"PIMENTEL, KOKO (PDP) [8]",0.26609556292669123,0.17296780282997157,0.3663183767272538,0.39611849690995315
"TRILLANES, ANTONIO IV (NP) [9]",0.20873174248842782,0.11363884356774065,0.35368740013383315,0.33339600731994673
"VILLAR, CYNTHIA HANEPBUHAY (NP) [10]",0.17679173319394265,0.12436387049598736,0.22642941412336562,0.27990355803882727
"EJERCITO ESTRADA, JV (UNA) [11]",0.2752987096067935,0.20254032906250488,0.35143315170782413,0.4619525657675028
"HONASAN, GRINGO (UNA) [12]",0.22268545312222135,0.16022676914379858,0.33979627290401865,0.4111428603949744
"GORDON, DICK (UNA) [13]",0.33128303813276755,0.15547494873050946,0.5112305072596465,0.3199052241902573
"ZUBIRI, MIGZ (UNA) [14]",0.16030093944468765,0.13670148989846134,0.24672294835777236,0.3275234618755665
"ENRILE, JUAN PONCE JR.(NPC) [15]",0.27523218837066477,0.18677637128390662,0.2368278002305234,0.29062112929838124
"MAGSAYSAY, RAMON JR. (LP) [16]",0.2973127844709811,0.20033628035314877,0.33839321814729484,0.37784237323674147
"HONTIVEROS, RISA (AKBAYAN) [17]",0.34313106392162257,0.20668568023158554,0.40157664614696326,0.3498710528821593
"HAGEDORN, ED [18]",0.4365540884736886,0.23091207569141137,0.5532744557225947,0.25099797675137403
"VILLANUEVA, BRO.EDDIE (BP) [19]",0.16555924145446987,0.07795335788620687,0.2529612197533047,0.14530601116787378
"MADRIGAL, JAMBY (LP) [20]",0.10144673863468502,0.08052300790748981,0.14233246989012807,0.1885429557527532
"MAGSAYSAY, MITOS (UNA) [21]",0.07033186550192286,0.05416766595029165,0.10212001387362439,0.13073179917648298
"CASINO, TEDDY (MKB) [22]",0.14173322691985138,0.07979596791081246,0.1552593277758991,0.08578959305122139
"MACEDA, MANONG ERNIE (UNA) [23]",0.044460224614046445,0.02373784576100299,0.08161720769966598,0.0755874955521891
"COJUANGCO, TINGTING (UNA) [24]",0.027356350324633384,0.018356904988280198,0.028445831769431402,0.031025832321966543
"DELOS REYES, JC (KPTRAN) [25]",0.033867562004986654,0.024236910138646945,0.03318874834355822,0.04268792437437056
"ALCANTARA, SAMSON (SJS) [26]",0.03292080866340201,0.016916272785829127,0.053413577971387606,0.03335769162056788
"BELGICA, GRECO (DPP) [27]",0.020547248899451337,0.012403190625503055,0.02022728842926615,0.014726051665645596
"PENSON, RICARDO [28]",0.018492493936563326,0.011356424451809826,0.01929360374400475,0.01635005337219135
"DAVID, LITO (KPTRAN) [29]",0.015720950620207466,0.013970937945320786,0.025917493671146125,0.034078064456344384
"MONTANO, MON [30]",0.02376175827316464,0.013409702791592542,0.04293870667635044,0.03235417363342031
"FALCONE, BAL (DPP) [31]",0.010486324018775656,0.006792759401702266,0.018351210434863815,0.015671866573572252
