candidate,arch_0,arch_1
"VILLAR, CYNTHIA (NP) [1]",1.233644074680109e-15,1.1214946133455537e-16
"POE, GRACE (IND) [2]",6.728967680073322e-16,4.205604800045826e-17
"GO, BONG GO (PDPLBN) [3]",2.2429892266911074e-16,2.803736533363884e-17
"CAYETANO, PIA (NP) [4]",8.97195690676443e-16,6.308407200068738e-17
"DELA ROSA, BATO (PDPLBN) [5]",5.607473066727768e-16,3.504670666704855e-17
"ANGARA, EDGARDO SONNY (LDP) [6]",0.0,0.0
"LAPID, LITO (NPC) [7]",2.2429892266911074e-16,1.401868266681942e-16
"MARCOS, IMEE (NP) [8]",1.1214946133455537e-16,1.401868266681942e-17
"TOLENTINO, FRANCIS (PDPLBN) [9]",7.850462293418876e-16,5.607473066727768e-17
"BONG REVILLA, RAMON JR (LAKAS) [10]",0.0,1.962615573354719e-16
"PIMENTEL, KOKO (PDPLBN) [11]",2.2429892266911074e-16,0.0
"BINAY, NANCY (UNA) [12]",5.607473066727768e-16,5.607473066727768e-17
"EJERCITO, ESTRADA JV (NPC) [13]",4.485978453382215e-16,3.154203600034369e-17
"AQUINO, BENIGNO BAM (LP) [14]",5.046725760054991e-16,1.1214946133455537e-16
"ESTRADA, JINGGOY (PMP) [15]",3.364483840036661e-16,7.00934133340971e-17
"ROXAS, MAR (LP) [16]",5.607473066727768e-17,1.401868266681942e-16
"OSMEÑA, SERGE (IND) [17]",3.925231146709438e-16,7.00934133340971e-18
"ONG, DOC WILLIE (LAKAS) [18]",1.1214946133455537e-16,8.411209600091652e-17
"MANGUDADATU, DONG (PDPLBN) [19]",1.6822419200183304e-16,4.205604800045826e-17
"MANICAD, JIGGY (IND) [20]",1.1214946133455537e-16,7.00934133340971e-17
"DIOKNO, CHEL (LP) [21]",2.803736533363884e-17,3.8551377333753404e-17
"ENRILE, JUAN PONCE (PMP) [22]",2.803736533363884e-17,2.803736533363884e-17
"ALEJANO, GARY (LP) [23]",9.813077866773594e-17,0.0
"COLMENARES, NERI (MKBYN) [24]",5.607473066727768e-17,0.0
"GUTOC, SAMIRA (LP) [25]",2.102802400022913e-17,0.0
"MACALINTAL, MACAROMY (IND) [26]",1.401868266681942e-16,1.7523353333524274e-17
"TAÑADA,LORENZO ERIN TAPAT (LP) [27]",0.0,7.00934133340971e-18
"GADON, LARRY (KBL) [28]",1.6822419200183304e-16,1.401868266681942e-17
"AGUILAR, FREDDIE (IND) [29]",6.308407200068738e-17,1.401868266681942e-17
"CHONG, GLENN (KDP) [30]",7.00934133340971e-17,2.102802400022913e-17
"MANGONDATO, FAISAL (IND) [31]",3.504670666704855e-17,2.102802400022913e-17
"ESCUDERO, AGNES (IND) [32]",7.00934133340971e-18,7.00934133340971e-18
