candidate,arch_0,arch_1,arch_2,arch_3,arch_4
"PADILLA, ROBIN (PDPLBN) [1]",0.6748706729342675,0.7551821151931368,0.8085558521308379,0.250203821344388,0.27272262358757793
"LEGARDA, LOREN (NPC) [2]",0.18548717908922308,0.12225040401868438,0.11148876484488274,0.2660511440757637,0.1942896603823544
"TULFO, IDOL RAFFY (IND) [3]",0.15273591046242257,0.1447310203546885,0.08134501479761982,0.25292456894610776,0.10413937696857703
"GATCHALIAN, WIN (NPC) [4]",0.1870441059824188,0.11226113981498483,0.13036240106185018,0.272333120532969,0.22264039563014842
"ESCUDERO, CHIZ (NPC) [5]",0.23097320652866568,0.3347057575111348,0.24103492254332845,0.22331458003127927,0.19781278387192583
"VILLAR, MARK (NP) [6]",0.24453879925270972,0.12543091524566818,0.2376399023956597,0.37318491590029584,0.1748645220031625
"CAYETANO, ALAN PETER (IND) [7]",0.1572949715740808,0.1415058374978484,0.142698335512137,0.2747817601840268,0.11878996161390847
"ZUBIRI, MIGZ (IND) [8]",0.23713336689365055,0.11761604663874889,0.24798714906709746,0.33728476282028896,0.13632143088887572
"VILLANUEVA,JOEL TESDAMAN (IND) [9]",0.2206303976562068,0.2642946388978603,0.24718948262897014,0.2176172527158894,0.17562597302296695
"EJERCITO, JV ESTRADA (NPC) [10]",0.17279541088463365,0.13929598844596616,0.18108087376545298,0.3388859585233581,0.09560171480255115
"HONTIVEROS, RISA (AKBAYAN) [11]",0.27261750270847024,0.3298761551241225,0.22244657943180213,0.2863577398645464,0.21258342040436976
"ESTRADA, JINGGOY (PMP) [12]",0.33127694136809593,0.26030150152216425,0.2364567091280029,0.354527965170234,0.13020556186564328
"BINAY, JOJO (UNA) [13]",0.26689677028604786,0.15073972268411157,0.17090277676249988,0.3177037747855924,0.0954550376293847
"BAUTISTA, HERBERT BISTEK (NPC) [14]",0.19431552757288345,0.23801824429185053,0.2991525077402131,0.10351212811530973,0.20394702185663868
"TEODORO, GIBO (PRP) [15]",0.2353583956454977,0.19288417823246673,0.1701684219581688,0.37298924877290107,0.22867511377734523
"ELEAZAR, GEN. GUILLERMO (PDR) [16]",0.23928852398311068,0.17237582989354394,0.34864952681320144,0.20660073792575956,0.22810614638481388
"ROQUE, HARRY SPOX (PRP) [17]",0.18200226072442785,0.18383061603613052,0.14886035582076806,0.34226754969999656,0.15879305384619205
"HONASAN, GRINGO (IND) [18]",0.08166729560005608,0.05495575178467331,0.06577360132405138,0.0870983030028441,0.09580282104933224
"DIOKNO, CHEL (KANP) [19]",0.21954283467389266,0.17921056037789537,0.2614197325213392,0.43032653769375095,0.2606830005363074
"GADON, LARRY (KBL) [20]",0.08945449542909895,0.15486846416358405,0.16792834958256803,0.10346343616991663,0.1754134215596002
"TRILLANES, ANTONIO IV (LP) [21]",0.18288481944067772,0.2464169946689714,0.15559330296639703,0.31376689842431404,0.12539950252084484
"GORDON, WOW DICK (BVNP) [22]",0.14092076858748176,0.1809557334685685,0.11714606543375444,0.1677062944761487,0.1020321535738545
"DE LIMA, LEILA (LP) [23]",0.19979074643586414,0.21848546401935567,0.17166212642379777,0.3686587535109515,0.14882832639995866
"COLMENARES, NERI (MKBYN) [24]",0.1508944283031837,0.1278106026429653,0.14743618122567115,0.26932646496590606,0.16475936551114784
"LACSON, KUYA ALEX (KP) [25]",0.09931693001738733,0.08219080474519645,0.11524870012195088,0.20292703079252483,0.10384132095323577
"PANELO, SAL PANALO (PDPLBN) [26]",0.07110635920930275,0.19842052685501974,0.1650083216278166,0.1424691135768954,0.12249086490445292
"MARCOS, FRANCIS LEO (IND) [27]",0.06536814046191389,0.05100667486102074,0.06106360204718375,0.06397667259485623,0.04595605483640713
"BAGUILAT, TEDDY (LP) [28]",0.12452656978178235,0.09495228067457087,0.21684605342204671,0.281936508005675,0.1384871025897652
"DEL ROSARIO, MONSOUR (PDR) [29]",0.038725779450190394,0.020840457085861568,0.03193233938985753,0.049567592337527715,0.013381950930096807
"BALITA, CARL (AKSYON) [30]",0.04847735815010982,0.03697913486610332,0.08947551718005828,0.07711014608564283,0.048601417396645766
"PADILLA, DRA. MINGUITA (PDR) [31]",0.024298382429991255,0.05195387061917514,0.06201943569062829,0.028820745493063377,0.03974875041533061
"PIÑOL, MANNY (NPC) [32]",0.0904819385184314,0.056387365883004345,0.08910357766551477,0.14784694437163892,0.03101269380083061
"MARCOLETA, RODANTE (PDPLBN) [33]",0.07603322848868266,0.04324787221054446,0.06189474198998675,0.11020708484498938,0.05288625996807446
"PIMENTEL, ASTRA (PDPLBN) [34]",0.03872148119586767,0.021254077539990972,0.05153452295119344,0.05728175825434682,0.01303664942449769
