candidate,arch_0,arch_1
"GO, BONG GO (PDPLBN) [1]",6.728967680073322e-16,4.205604800045826e-17
"AQUINO, BAM (KNP) [2]",0.0,7.850462293418876e-16
"DELA ROSA, BATO (PDPLBN) [3]",8.97195690676443e-16,1.401868266681942e-16
"TULFO, ERWIN (LAKAS) [4]",4.205604800045826e-17,2.803736533363884e-16
"PANGILINAN, KIKO (LP) [5]",1.1214946133455537e-16,3.364483840036661e-16
"LACSON, PING (IND) [6]",8.411209600091652e-17,2.2429892266911074e-16
"MARCOLETA, RODANTE (IND) [7]",5.607473066727768e-16,0.0
"SOTTO, TITO (NPC) [8]",8.411209600091652e-17,3.364483840036661e-16
"CAYETANO, PIA (NP) [9]",8.761676666762138e-19,1.1214946133455537e-16
"VILLAR, CAMILLE (NP) [10]",1.1214946133455537e-16,1.962615573354719e-16
"LAPID, LITO (NPC) [11]",0.0,2.2429892266911074e-16
"MARCOS, IMEE R. (NP) [12]",1.6822419200183304e-16,1.962615573354719e-16
"TULFO, BEN BITAG (IND) [13]",4.205604800045826e-17,2.803736533363884e-16
"BONG REVILLA,RAMON, JR.(LAKAS) [14]",2.4532694666933986e-17,1.6822419200183304e-16
"BINAY, ABBY (NPC) [15]",9.813077866773594e-17,1.6822419200183304e-16
"ABALOS, BENHUR (PFP) [16]",8.411209600091652e-17,0.0
"BONDOC, JIMMY (PDPLBN) [17]",4.485978453382215e-16,1.401868266681942e-16
"PACQUIAO, MANNY PACMAN (PFP) [18]",2.102802400022913e-17,1.6822419200183304e-16
"SALVADOR, PHILLIP IPE (PDPLBN) [19]",7.850462293418876e-16,5.607473066727768e-17
"BOSITA, COLONEL (IND) [20]",4.205604800045826e-17,2.2429892266911074e-16
"MENDOZA, HEIDI (IND) [21]",1.1214946133455537e-16,2.803736533363884e-16
"REVILLAME, WILLIE WIL (IND) [22]",1.401868266681942e-16,0.0
"RODRIGUEZ, ATTY. VIC (IND) [23]",0.0,1.1214946133455537e-16
"LAMBINO, RAUL (PDPLBN) [24]",2.2429892266911074e-16,0.0
"TOLENTINO, FRANCIS TOL (PFP) [25]",0.0,5.607473066727768e-17
"ONG, DOC WILLIE (AKSYON) [26]",8.761676666762137e-18,2.2429892266911074e-16
"HINLO, JAYVEE (PDPLBN) [27]",4.485978453382215e-16,1.962615573354719e-16
"HONASAN, GRINGO (RP) [28]",5.607473066727768e-17,4.205604800045826e-17
"ESPIRITU, LUKE (PLM) [29]",5.607473066727768e-17,2.803736533363884e-17
"MATA, DOC MARITES (IND) [30]",2.2429892266911074e-16,5.607473066727768e-17
"QUIBOLOY, APOLLO (IND) [31]",3.364483840036661e-16,1.401868266681942e-16
"CASIÑO, TEDDY (MKBYN) [32]",1.401868266681942e-17,2.803736533363884e-17
"BROSAS, ARLENE (MKBYN) [33]",4.205604800045826e-17,1.1214946133455537e-16
"DE GUZMAN, KA LEODY (PLM) [34]",4.205604800045826e-17,5.607473066727768e-17
"RAMOS, DANILO (MKBYN) [35]",0.0,9.813077866773594e-17
"MAZA, LIZA (MKBYN) [36]",1.401868266681942e-17,8.411209600091652e-17
"QUERUBIN, ARIEL PORFIRIO (NP) [37]",5.607473066727768e-17,7.00934133340971e-18
"MATULA, ATTY. SONNY (WPP) [38]",3.504670666704855e-17,1.2616814400137477e-16
"ARAMBULO, RONNEL (MKBYN) [39]",4.205604800045826e-17,9.813077866773594e-17
"CASTRO, TEACHER FRANCE (MKBYN) [40]",0.0,7.00934133340971e-17
"DE ALBAN,ATTORNEY ANGELO (IND) [41]",2.4532694666933986e-17,0.0
"BALLON, ROBERTO (IND) [42]",1.401868266681942e-17,5.607473066727768e-17
