candidate,arch_0,arch_1,arch_2,arch_3
"GO, BONG GO (PDPLBN) [1]",0.07569867927320136,0.07492332944061482,0.34102003598148,0.04977390393079723
"AQUINO, BAM (KNP) [2]",0.0749315643862245,0.03448865320833965,0.08694196575167551,0.03846439978109998
"DELA ROSA, BATO (PDPLBN) [3]",0.07860109053624037,0.06991197989536817,0.27008976925369155,0.05283934819277744
"TULFO, ERWIN (LAKAS) [4]",0.04121231238144998,0.014953044327209073,0.10273360664910675,0.05622000170224453
"PANGILINAN, KIKO (LP) [5]",0.05801496293809794,0.024160920315968344,0.06712388763153548,0.0338610779765706
"LACSON, PING (IND) [6]",0.05756313877919661,0.026874696700679396,0.15807207418056493,0.06166322110765666
"MARCOLETA, RODANTE (IND) [7]",0.05918175076472958,0.061420849918421866,0.2551393011178333,0.03984865812710799
"SOTTO, TITO (NPC) [8]",0.04806806968464322,0.018207737362789994,0.09963542914479703,0.04752089705666552
"CAYETANO, PIA (NP) [9]",0.05039405212777038,0.02877441449217669,0.18063229053879867,0.06055080659069681
"VILLAR, CAMILLE (NP) [10]",0.038803494301633684,0.031078909619228486,0.19237059240878396,0.044704819424630435
"LAPID, LITO (NPC) [11]",0.026832765347345054,0.013626085456577713,0.060863323338451986,0.04060594865642214
"MARCOS, IMEE R. (NP) [12]",0.04727396990959815,0.03254994170870933,0.2168337947131485,0.06348069046912412
"TULFO, BEN BITAG (IND) [13]",0.0224928207844997,0.00773004100944487,0.021976385160480356,0.02012466732967588
"BONG REVILLA,RAMON, JR.(LAKAS) [14]",0.037253036844149434,0.01840035762967404,0.13198875761337625,0.05669461029320951
"BINAY, ABBY (NPC) [15]",0.0378915043152841,0.015619493672027272,0.11208817311558465,0.049875249147780375
"ABALOS, BENHUR (PFP) [16]",0.050251350541771087,0.02303664546841383,0.1628505018905821,0.0660539923808803
"BONDOC, JIMMY (PDPLBN) [17]",0.06060994624283646,0.05118298351061978,0.17628017195986437,0.04749635660482531
"PACQUIAO, MANNY PACMAN (PFP) [18]",0.011601748383788257,0.005615544792179504,0.01997677999098131,0.01637322312758809
"SALVADOR, PHILLIP IPE (PDPLBN) [19]",0.055350105687871215,0.03761205189923791,0.1294495891107379,0.040844051918009966
"BOSITA, COLONEL (IND) [20]",0.03873332018016285,0.01956823696682111,0.04845985079349791,0.018539099873817785
"MENDOZA, HEIDI (IND) [21]",0.04895647625730229,0.02469580047676579,0.03740678511057022,0.016732346087205172
"REVILLAME, WILLIE WIL (IND) [22]",0.004349511544621919,0.0033406906202664683,0.004767582200212678,0.004153927141499843
"RODRIGUEZ, ATTY. VIC (IND) [23]",0.04488049487211202,0.0422686203578962,0.15102194977869934,0.03396394774501969
"LAMBINO, RAUL (PDPLBN) [24]",0.052253143036493796,0.04310281333306503,0.14956646428030293,0.04033596314606122
"TOLENTINO, FRANCIS TOL (PFP) [25]",0.03901723391657194,0.02373841902095748,0.15334019121438702,0.049344632682279545
"ONG, DOC WILLIE (AKSYON) [26]",0.02498767592789111,0.015841524375001612,0.045734275962106885,0.012476153115390042
"HINLO, JAYVEE (PDPLBN) [27]",0.05056568570696557,0.04041152533968728,0.13700201467050682,0.040038046156840514
"HONASAN, GRINGO (RP) [28]",0.020468111538471202,0.019456920671586036,0.07259479776342316,0.013353309595103937
"ESPIRITU, LUKE (PLM) [29]",0.0372786273284299,0.018902945064225397,0.02856617911019888,0.012703063598757771
"MATA, DOC MARITES (IND) [30]",0.03611613468676033,0.031454558058305125,0.10444078673114343,0.029824375877007866
"QUIBOLOY, APOLLO (IND) [31]",0.040690743280610696,0.03169915883601143,0.10996882316650916,0.030991338111420935
"CASIÑO, TEDDY (MKBYN) [32]",0.02975836288732149,0.01603168888467801,0.028091784581256787,0.010809517227158243
"BROSAS, ARLENE (MKBYN) [33]",0.02705629870782492,0.014361290977134468,0.024093609451488123,0.009633545096222409
"DE GUZMAN, KA LEODY (PLM) [34]",0.023754657790781696,0.012477541762360584,0.019836368780170654,0.008242184916745719
"RAMOS, DANILO (MKBYN) [35]",0.022639367058893207,0.011950005348548101,0.020034916054841152,0.008069548413232434
"MAZA, LIZA (MKBYN) [36]",0.02415752065386445,0.012790366095558755,0.02113858342824095,0.008538171460222116
"QUERUBIN, ARIEL PORFIRIO (NP) [37]",0.013228775338718322,0.013189800268381327,0.04781749557839846,0.008601825249044846
"MATULA, ATTY. SONNY (WPP) [38]",0.022925365693501457,0.012666493687007913,0.02149880251522036,0.008171544922101516
"ARAMBULO, RONNEL (MKBYN) [39]",0.02220401212402396,0.011558929376256756,0.01907196474469619,0.007877545368773898
"CASTRO, TEACHER FRANCE (MKBYN) [40]",0.020570189552669014,0.010640645906092336,0.016490556789103588,0.00706693023576953
"DE ALBAN,ATTORNEY ANGELO (IND) [41]",0.012320362548674215,0.007315486595381261,0.01566279527785577,0.0049416271324947605
"BALLON, ROBERTO (IND) [42]",0.011144697062325275,0.005940765186459265,0.009671517902500872,0.0039037561735915625
